Sample name	ls_delta	ls_ba1	ls_ba2
sample1 	0.04545454545	0.1904761905	0.1285714286
sample2 	0.04545454545	0.04761904762	0.01428571429
sample3 	0.1363636364	0.1587301587	0.08571428571
sample4 	0.1363636364	0.07936507937	0.07142857143
sample5 	0.09090909091	0.2222222222	0.1285714286
sample6 	0.1363636364	0.07936507937	0.07142857143
sample7 	0.09090909091	0.03174603175	0.02857142857
sample8 	0.3181818182	0.06349206349	0.05714285714
sample9 	0.1363636364	0.3333333333	0.1857142857
sample10 	0.1363636364	0.5238095238	0.3285714286
sample11 	0.1818181818	0.01587301587	0.01428571429
sample12 	0.3636363636	0.06349206349	0.05714285714
sample13 	0.3636363636	0.07936507937	0.07142857143
sample14 	0.09090909091	0.4444444444	0.2714285714
sample15 	0.1363636364	0.3650793651	0.3857142857
sample16 	0.5454545455	0.06349206349	0.05714285714
sample17 	0.09090909091	0.3333333333	0.4571428571
sample18 	0.1363636364	0.1111111111	0.07142857143
sample19 	0.09090909091	0.3968253968	0.4142857143
sample20 	0.09090909091	0.5714285714	0.3714285714
sample21 	0.5	0.01587301587	0.01428571429
sample22 	0.09090909091	0.5714285714	0.3714285714
sample23 	0.04545454545	0.4603174603	0.2857142857
sample24 	0.1363636364	0.07936507937	0.05714285714
sample25 	0.04545454545	0.01587301587	0
sample26 	0.1363636364	0.09523809524	0.05714285714
sample27 	0.1363636364	0.1746031746	0.1285714286
sample28 	0.5454545455	0.04761904762	0.04285714286
sample29 	0.5	0.06349206349	0.05714285714
sample30 	0.4090909091	0.01587301587	0.01428571429
sample31 	0.09090909091	0.126984127	0.08571428571
sample32 	0.2727272727	0.07936507937	0.07142857143
sample33 	0.09090909091	0.4444444444	0.4
sample34 	0.09090909091	0.4126984127	0.2571428571
sample35 	0.2727272727	0.07936507937	0.07142857143
sample36 	0.3636363636	0.04761904762	0.04285714286
sample37 	0.09090909091	0.03174603175	0.02857142857
sample38 	0.3181818182	0.06349206349	0.04285714286
sample39 	0.5	0.07936507937	0.07142857143
sample40 	0.09090909091	0.5714285714	0.3714285714
sample41 	0.2727272727	0.06349206349	0.05714285714
sample42 	0.04545454545	0.06349206349	0.08571428571
sample43 	0.09090909091	0.3015873016	0.4857142857
sample44 	0.3181818182	0.06349206349	0.05714285714
sample45 	0.1363636364	0.1587301587	0.1428571429
sample46 	0.1363636364	0.5555555556	0.3571428571
sample47 	0.1363636364	0.07936507937	0.07142857143
sample48 	0.1363636364	0.04761904762	0.04285714286
sample49 	0.4545454545	0.07936507937	0.07142857143
sample50 	0.1363636364	0.1587301587	0.1
sample51 	0.5909090909	0.04761904762	0.04285714286
sample52 	0.09090909091	0.3492063492	0.2571428571
sample53 	0.1363636364	0.3333333333	0.2
sample54 	0.5	0.06349206349	0.05714285714
sample55 	0.5	0.06349206349	0.05714285714
sample56 	0.1363636364	0.5714285714	0.3714285714
sample57 	0.5	0.04761904762	0.04285714286
sample58 	0.5909090909	0.04761904762	0.04285714286
sample59 	0.09090909091	0.3650793651	0.3571428571
sample60 	0.09090909091	0.3968253968	0.4714285714
sample61 	0.4545454545	0.04761904762	0.04285714286
sample62 	0.1818181818	0.04761904762	0.04285714286
sample63 	0.09090909091	0.4444444444	0.2571428571
sample64 	0.5454545455	0.06349206349	0.05714285714
sample65 	0.1363636364	0.3015873016	0.2285714286
sample66 		0	
sample67 	0.1363636364	0.07936507937	0.07142857143
sample68 		0	0
sample69 	0.1363636364	0.1111111111	0.07142857143
sample70 	0.1363636364	0.4603174603	0.2714285714
sample71 		0.3650793651	0.2428571429
sample72 	0.5909090909	0.06349206349	0.05714285714
sample73 	0.3181818182	0.03174603175	0.02857142857
sample74 	0.04545454545	0.4920634921	0.3428571429
sample75 			
sample76 	0.09090909091	0.5714285714	0.3714285714
sample77 	0.04545454545	0.4444444444	0.2714285714
sample78 	0.3636363636	0.01587301587	0.01428571429
sample79 	0.1363636364	0.1587301587	0.1571428571
sample80 	0.09090909091	0.380952381	0.3142857143
sample81 	0.2727272727	0.06349206349	0.05714285714
sample82 	0.1363636364	0.4126984127	0.3428571429
sample83 	0.1363636364	0.4920634921	0.3714285714
sample84 	0.09090909091	0.3492063492	0.4285714286
sample85 	0.09090909091	0.04761904762	0.02857142857
sample86 	0.1363636364	0.5555555556	0.3571428571
sample87 	0.09090909091	0.1904761905	0.08571428571
sample88 	0.1363636364	0.07936507937	0.05714285714
sample89 	0.09090909091	0.4285714286	0.2428571429
sample90 	0.09090909091	0.3968253968	0.5857142857
sample91 	0.1818181818	0.01587301587	0.01428571429
sample92 	0.1818181818	0.380952381	0.4142857143
sample93 	0.1363636364	0.04761904762	0.04285714286
sample94 	0.1363636364	0.04761904762	0.04285714286
sample95 	0.04545454545	0.2857142857	0.1571428571
sample96 	0.1363636364	0.5396825397	0.3428571429
sample97 	0.09090909091	0.4761904762	0.3142857143
sample98 	0	0	0
sample99 	0.3181818182	0.06349206349	0.05714285714
sample100 	0.09090909091	0.3968253968	0.5857142857